#,Tên tin tức,Danh mục,Nội dung tin tức,"Hình ảnh đại diện(Link ảnh jpg, png)","Hình ảnh / Video tin tức(Link ảnh / video jpg, png, mp4)",Chú thích
1,Vì sao Việt Nam là cường quốc cà phê?,Tin tức,"Nhờ khí hậu ưu đãi, thổ nhưỡng đất đỏ bazán màu mỡ cùng tinh thần lao động cần cù của người nông dân, Việt Nam đã bứt phá trở thành một trong những quốc gia xuất khẩu cà phê hàng đầu thế giới. Hành trình này khẳng định vị thế và chất lượng vượt trội của hạt cà phê Việt trên thị trường quốc tế.",https://drive.google.com/file/d/1GnQdXdi9MT4yI0Ibi-C2eU4lD1yJQnJG/view?usp=drive_link,https://www.youtube.com/watch?v=86uxmcgaO2c,"Bài viết phân tích vị thế xuất khẩu, điều kiện tự nhiên và tiềm năng của cà phê Việt Nam"
2,"Điều gì làm nên sự khác biệt của cà phê Việt Nam?
",Tin tức,"Sự khác biệt của cà phê Việt đến từ hương vị Robusta đậm đà đặc trưng, kết hợp cùng kỹ thuật rang xay truyền thống và văn hóa pha phin độc đáo. Chính sự tỉ mỉ trong từng khâu chế biến đã tạo nên một trải nghiệm thưởng thức mạnh mẽ, khó quên đối với mọi tín đồ cà phê.",https://drive.google.com/file/d/1ZfoJLkuy5LCyOFtqOQPU2Bu9WNYwTltQ/view?usp=drive_link,https://www.youtube.com/watch?v=MJs_zH89Wkg,Bài viết truyền thông phân tích chuyên sâu các yếu tố cốt lõi tạo nên bản sắc cà phê Việt.
3,Robusta và Arabica: So sánh chi tiết,Tin tức,"Trong khi Robusta nổi bật với hàm lượng caffeine cao, vị đắng đậm đà và độ sánh đặc征, thì Arabica lại chinh phục người dùng bởi hương thơm phong phú cùng vị chua thanh tinh tế. Việc hiểu rõ sự khác biệt giữa hai dòng hạt này sẽ giúp bạn dễ dàng lựa chọn gu cà phê hoàn hảo cho riêng mình.",https://drive.google.com/file/d/1tsf0wJZVPjCjhOmP-EiuGQkpos2MozJw/view?usp=drive_link,https://www.youtube.com/watch?v=MJaNLns-Ios,Bài viết chia sẻ kiến thức sản phẩm giúp khách hàng phân biệt Robusta và Arabica.
4,Các vùng trồng cà phê trọng điểm của Việt Nam,Tin tức,"Tây Nguyên với những thủ phủ nổi tiếng như Đắk Lắk, Lâm Đồng, Gia Lai chính là mảnh đất vàng nuôi dưỡng nên những hạt cà phê Robusta và Arabica chất lượng cao. Mỗi vùng đất mang điều kiện thổ nhưỡng riêng, góp phần tạo nên sự đa dạng và phong phú trong từng tầng hương vị.",https://drive.google.com/file/d/1_5brBl8yYRPCrxYD6GnF6uqWc6P6XRro/view?usp=drive_link,https://www.youtube.com/watch?v=WxDiK3zF9e8,Bài viết tổng hợp các vùng trồng cà phê trọng điểm và đặc trưng địa lý nông sản.
5,Văn hóa cà phê của người Việt,Tin tức,"Cà phê không chỉ là một thức uống quen thuộc mỗi sáng mà đã trở thành một nét văn hóa kết nối cộng đồng đầy tinh tế của người Việt. Dù là phin sữa đá lề đường hay không gian hiện đại, mỗi ly cà phê đều gắn liền với những câu chuyện đời thường và sự thong dong lắng đọng.",https://drive.google.com/file/d/1GnQdXdi9MT4yI0Ibi-C2eU4lD1yJQnJG/view?usp=drive_link,https://www.youtube.com/watch?v=nMVH0CQ9XjU,Bài viết góc nhìn văn hóa về thói quen thưởng thức cà phê phin và góc phố Việt Nam.
6,Hành trình từ trang trại đến tách cà phê,Tin tức,"Để tạo nên một tách cà phê thơm ngon trọn vị, những hạt cà phê phải trải qua hành trình chăm sóc tỉ mỉ, thu hoạch chín cây và chế biến nghiêm ngặt. Sự kết hợp giữa tâm huyết của người nông dân và công nghệ rang hiện đại chính là chìa khóa mang lại chất lượng hảo hạng.",https://drive.google.com/file/d/1H9USvSh7_UIMLLPuBO2rsyxP22wyqLZA/view?usp=drive_link,https://www.youtube.com/watch?v=e2VH7zv5Lg0,Bài viết quy trình minh bạch chuỗi giá trị từ nông trại đến người tiêu dùng.
7,"Mùa thu hoạch cà phê tại Việt Nam",Tin tức,"Khi sắc đỏ rực rỡ phủ khắp các nương nợ Tây Nguyên, mùa thu hoạch cà phê lại rộn ràng bắt đầu trong niềm vui của người trồng. Nhờ quy trình hái chọn lọc từng hạt chín, chất lượng sản phẩm luôn được đảm bảo ở mức tối ưu nhất trước khi đưa vào sản xuất.",https://drive.google.com/file/d/1-cQVI6gPU1iQoq7L14ge_4drAcq19lEv/view?usp=drive_link,https://www.youtube.com/watch?v=9jt_DThkhzc,Tin tức cập nhật không khí mùa vụ thu hoạch và tiêu chuẩn hái cà phê chín.
8,Cà phê Việt Nam trong mắt bạn bè quốc tế,Tin tức,"Cà phê phin và cà phê trứng Việt Nam đang ngày càng khẳng định sức hút mạnh mẽ, liên tục nhận được sự đón nhận và khen ngợi từ báo chí cùng thực khách quốc tế. Vị đậm đà riêng biệt đã giúp cà phê Việt trở thành điểm sáng độc đáo trên bản đồ ẩm thực toàn cầu.",https://drive.google.com/file/d/1dL3AqA5jYRgJw6oRbcDtZAjy5Nb9Nq1g/view?usp=drive_link,https://drive.google.com/drive/folders/12iEYdmOFrMecllhZFL2SGQaeZY910fp7,Bài viết tổng hợp góc nhìn quốc tế và sự lan tỏa của ẩm thực cà phê Việt.
9,Tương lai của ngành cà phê Việt Nam,Tin tức,"Định hướng phát triển bền vững, ứng dụng công nghệ cao và gia tăng giá trị tinh chế đang là chìa khóa cho tương lai ngành cà phê Việt. Việc chú trọng vào chất lượng thay vì lượng sẽ giúp thương hiệu cà phê Việt vươn xa và khẳng định giá trị cao hơn nữa trên thế giới.",https://drive.google.com/file/d/1IzJc-XIi5L5vfZz9U5OT7JZfEYJF8KT2/view?usp=drive_link,https://www.youtube.com/watch?v=p-ydW4LPtpk,Bài viết góc nhìn chiến lược về xu hướng chế biến sâu và phát triển bền vững
,,,,,,
